Phase,Epic,Task ID,Task Name,Description,Priority,Status,Assignee,Dependencies,Acceptance Criteria,Effort (SP),Files to Modify,New Files,Notes
Phase 1: Foundation,Error Handling & Resilience,T1,Implement Structured Error Handling,Replace all try/catch blocks with a centralized error handling system that categorizes errors (AI API failures network errors validation errors). Implement exponential backoff retry logic with jitter for OpenRouter API calls.,Highest,Done,Backend Node.js Lead,,All API calls have retry logic with max 3 attempts. Errors are categorized and logged with correlation IDs. No unhandled promise rejections.,5,src/core.js,src/utils/errors.js src/utils/retry.js,Use custom error classes extending Error
Phase 1: Foundation,Error Handling & Resilience,T2,Add Circuit Breaker Pattern,Implement circuit breaker for OpenRouter API to prevent cascading failures when the service is down. Configurable thresholds for failure rate and recovery timeout.,Highest,Done,Backend Node.js Lead,T1,Circuit breaker trips after 5 failures in 60 seconds. Auto-recovery after 30 seconds. Status visible in health endpoint.,3,src/core.js,src/utils/circuit-breaker.js,Use opossum or custom implementation
Phase 1: Foundation,Logging & Observability,T3,Structured Logging System,Replace console.log with Pino or Winston structured logging. Include request IDs trace IDs timestamps and severity levels. Write logs to rotating files and optionally to Loki/CloudWatch.,Highest,Done,Backend Node.js Lead,,All logs are JSON structured with timestamp level message traceId. Separate files for error warn info. Log rotation daily.,4,src/core.js src/tui.js src/commands.js src/skills.js,src/utils/logger.js config/logging.js,Use pino for performance
Phase 1: Foundation,Logging & Observability,T4,Request Tracing & Correlation IDs,Generate correlation IDs at entry points (CLI TUI API) and propagate through all async operations. Trace agent delegation chains and tool executions.,High,Done,Backend Node.js Lead,T3,Every log entry includes traceId. Agent chains show full delegation path. Traces viewable in dashboard.,3,src/core.js src/index.js src/tui.js,src/utils/tracing.js,Must work across process boundaries
Phase 1: Foundation,Configuration Management,T5,Environment Validation & Config Schema,Use Zod to validate all environment variables at startup. Create a typed configuration object that validates OPENROUTER_API_KEY ORCA_LOG_LEVEL ORCA_DB_URL etc. Fail fast with descriptive errors.,Highest,Done,Backend Node.js Lead,,App crashes on startup with clear message if required env vars missing. Config object is typed and validated. .env.example file updated.,3,src/core.js,src/config/index.js src/config/schema.js .env.example,Never access process.env directly after init
Phase 1: Foundation,Configuration Management,T6,Hot Config Reload,Implement configuration that can be reloaded without restarting the server. Watch config files and env vars for changes. Notify subscribers when config updates.,Medium,Done,Backend Node.js Lead,T5,Config changes reflected without restart. CLI command /reload-config works. Changes logged with old/new values.,3,src/config/index.js,src/config/loader.js,Use chokidar for file watching
Phase 1: Foundation,Testing Infrastructure,T7,Jest Test Suite Setup,Install and configure Jest with coverage reporting. Create test utilities for mocking OpenRouter API calls. Set up pre-commit hooks with Husky.,Highest,Done,QA Automation Engineer,,npm test runs and passes. Coverage reports generated in coverage/. Pre-commit runs lint and test. jest.config.js configured.,4,package.json,jest.config.js tests/setup.js tests/utils/mock-api.js,Target 80% coverage
Phase 1: Foundation,Testing Infrastructure,T8,Unit Tests for Core Orchestration,Write tests for orchestrate() runSingleAgent() and callOpenRouter(). Mock axios responses. Test fallback chain behavior. Test tool execution approval flow.,Highest,Done,Unit Testing Specialist,T7,All core functions have unit tests. Fallback chain tested. Tool approval flow mocked and verified.,5,src/core.js,tests/core.test.js tests/skills.test.js,Use nock for HTTP mocking
Phase 1: Foundation,Testing Infrastructure,T9,Integration Tests for Commands,Test all /commands with mocked session state. Verify command parsing agent selection and analytics display.,High,To Do,QA Automation Engineer,T7,T7,Every command has integration test. Session state correctly mutated. Output formatting verified.,4,src/commands.js,tests/commands.test.js,
Phase 1: Foundation,Input Validation,T10,Zod Schemas for All Inputs,Create Zod schemas for user prompts agent configurations command arguments and API payloads. Validate before processing.,High,Done,Backend Node.js Lead,T5,All inputs validated against schemas. Validation errors return user-friendly messages. No invalid data reaches core logic.,3,,src/schemas/index.js src/schemas/prompt.js src/schemas/agent.js,
Phase 1: Foundation,Input Validation,T11,Prompt Injection Protection,Implement basic prompt injection detection. Sanitize user inputs before sending to AI models. Block known injection patterns.,High,Done,Security Auditor,T10,Known injection patterns are blocked and logged. System prompts are isolated from user content.,3,src/core.js,src/utils/safety.js,Use heuristic + pattern matching
Phase 2: Core Infrastructure,Plugin System,T12,Dynamic Skill Loading,Refactor skills from static imports to a plugin system that loads .js files from skills/ directory at startup. Each skill exports metadata name description version permissions and execute function.,Highest,Done,Chief Software Architect,,New skills can be added by dropping files in skills/ without code changes. Skills declare required permissions. Registry auto-populated.,6,src/skills.js skills/registry.json,src/plugins/loader.js src/plugins/registry.js,Use dynamic require with validation
Phase 2: Core Infrastructure,Plugin System,T13,Skill Marketplace API,Create a JSON API format for skills that includes metadata dependencies and configuration. Support installing skills from GitHub URLs or local paths via CLI command.,High,Done,API Integration Specialist,T12,CLI command /install-skill <url> works. Skills from URLs are downloaded validated and registered. Dependency conflicts detected.,5,src/commands.js,src/plugins/marketplace.js,Store in ~/.orca/skills
Phase 2: Core Infrastructure,Plugin System,T14,Permission System for Skills,Implement RBAC for skills: read write execute network filesystem. Each skill declares required permissions. User must approve elevated permissions.,High,To Do,Security Auditor,T12,Skills cannot execute without declared permissions. Terminal execution requires explicit approval. Permission violations are blocked and logged.,4,,src/plugins/permissions.js,Granular per-skill permissions
Phase 2: Core Infrastructure,Workflow Engine,T15,Task Queue System,Implement an in-memory task queue (BullMQ or custom) for agent workflows. Support job priority retries delays and dead-letter queues.,Highest,To Do,Backend Node.js Lead,,Tasks can be queued with priorities. Failed tasks retry with backoff. Dead letter queue for permanently failed jobs. Queue status queryable.,6,,src/queue/index.js src/queue/worker.js,Start with BullMQ Redis
Phase 2: Core Infrastructure,Workflow Engine,T16,Durable Workflow Execution,Create a workflow engine that persists workflow state to database. Support long-running workflows that survive process restarts. Resume from checkpoint.,Highest,To Do,Backend Node.js Lead,T15,Workflow state persisted after each step. Process restart resumes workflows. Checkpoint mechanism for multi-step agent chains.,8,,src/workflows/engine.js src/workflows/state.js,Inspired by Temporal
Phase 2: Core Infrastructure,Workflow Engine,T17,Workflow Definition DSL,Create a JSON/YAML format for defining complex agent workflows with branching conditional logic parallel execution and human-in-the-loop approvals.,High,To Do,Chief Software Architect,T16,Users can define workflows in JSON. Support parallel agent execution. Conditional branching based on previous results. Human approval gates.,6,,src/workflows/dsl.js src/workflows/validator.js,Schema validation with Zod
Phase 2: Core Infrastructure,Event System,T18,Event Bus Architecture,Implement a pub/sub event bus for internal communication. Events: agent_start agent_complete tool_call error cost_update. Support event persistence.,High,To Do,Backend Node.js Lead,,All major actions emit events. Multiple subscribers can listen. Events persisted for audit trail. Event replay possible.,4,,src/events/bus.js src/events/store.js,Use EventEmitter or Redis pub/sub
Phase 2: Core Infrastructure,Event System,T19,Real-time Event Streaming,Expose events via Server-Sent Events (SSE) and WebSockets for real-time dashboard updates. Event streaming to TUI and web clients.,High,To Do,Backend Node.js Lead,T18,TUI receives real-time updates via WebSocket. Dashboard shows live agent activity. Event latency under 100ms.,5,src/tui.js,src/events/stream.js src/server/websocket.js,SSE for server push
Phase 3: Data & Persistence,Database Layer,T20,SQLite Database Setup,Replace JSON files (analytics.json history.json) with SQLite database. Schema: users sessions agents tasks costs events skills. Use better-sqlite3 for sync access.,Highest,To Do,Database Architect,,All JSON persistence replaced with SQLite. Schema migrations with db-migrate. Connection pooling configured. Backup strategy defined.,6,src/core.js src/commands.js src/tui.js,data/orca.db src/db/schema.sql src/db/migrations/001_initial.sql,Use better-sqlite3 for performance
Phase 3: Data & Persistence,Database Layer,T21,PostgreSQL Support,Add PostgreSQL adapter for production deployments. Use Knex.js or Prisma for query building. Support connection string configuration.,High,To Do,Database Architect,T20,App works with PostgreSQL via env var. Same schema as SQLite. Migration system supports both. Connection pooling.,5,,src/db/adapter.js src/db/postgres.js,Prisma or Knex recommended
Phase 3: Data & Persistence,Database Layer,T22,Analytics Data Warehouse,Create aggregated analytics tables for historical reporting. Materialized views for daily/weekly/monthly cost and usage reports.,Medium,To Do,Data Engineer,T21,Dashboard shows historical trends. Reports generated in under 2 seconds. Data retention policy implemented.,4,src/core.js,src/db/analytics.sql,Partition by date
Phase 3: Data & Persistence,Agent Memory,T23,Conversation Memory Store,Implement persistent conversation memory for each agent. Store message history in database with context window management. Support memory summarization.,High,To Do,AI Prompt Engineer,T20,Agents remember previous conversations. Context window managed (sliding window + summarization). Memory searchable.,5,,src/memory/store.js src/memory/manager.js,Use conversation chains
Phase 3: Data & Persistence,Agent Memory,T24,Knowledge Base Integration,Create a knowledge base system where agents can store and retrieve facts documents and code snippets. Support markdown and code files.,High,To Do,Data Engineer,T23,Agents can save knowledge via tool. Retrieval by semantic similarity. Full-text search support. Version history.,6,,src/kb/index.js src/kb/semantic.js,Use vector embeddings
Phase 3: Data & Persistence,Session Management,T25,Persistent User Sessions,Replace in-memory sessionStats with database-backed sessions. Support resuming sessions across restarts. Session expiration and cleanup.,High,To Do,Backend Node.js Lead,T20,Sessions persist after restart. /sessions shows full history from DB. Old sessions auto-archived after 30 days.,4,src/tui.js src/commands.js,src/session/manager.js src/session/store.js,
Phase 3: Data & Persistence,Session Management,T26,Multi-User Session Isolation,Ensure complete data isolation between users. Each user sees only their sessions agents and analytics. Row-level security policies.,Highest,To Do,Security Auditor,T25,User A cannot see User B data. All queries filtered by user_id. Admin can see all data. Audited access checks.,5,,src/auth/middleware.js,RLS for PostgreSQL
Phase 4: Security & Auth,Authentication,T27,User Authentication System,Implement JWT-based authentication. Support email/password registration login and password reset. OAuth 2.0 integration for Google GitHub.,Highest,To Do,Security Auditor,T20,Users can register login and reset password. JWT tokens with refresh. OAuth login works. Passwords hashed with bcrypt.,6,,src/auth/index.js src/auth/jwt.js src/auth/oauth.js,Use passport.js or custom
Phase 4: Security & Auth,Authentication,T28,API Key Management,Generate and manage API keys for programmatic access. Keys have scopes and expiration. Support revoking keys.,High,To Do,Security Auditor,T27,Users can create API keys in dashboard. Keys have read/write/admin scopes. Revocation immediate. Keys hashed in DB.,4,,src/auth/api-keys.js,Prefix keys with orca_live_
Phase 4: Security & Auth,Authorization,T29,Role-Based Access Control (RBAC),Implement roles: Admin Manager User Guest. Each role has permissions for agents tools and data. Middleware for route protection.,Highest,To Do,Security Auditor,T27,Admin can manage all. Manager can manage team. User sees own data. Guest has read-only. Permission checks on every route.,5,,src/auth/rbac.js src/auth/roles.js,Roles in database
Phase 4: Security & Auth,Authorization,T30,Team Workspaces & Multi-Tenancy,Support team workspaces with members. Workspace-level agent configurations billing and data isolation. Invite system.,High,To Do,Backend Node.js Lead,T29,Users can create workspaces. Invite via email. Workspace settings isolated. Members have roles within workspace.,6,,src/teams/index.js src/teams/members.js,Workspace as top-level boundary
Phase 4: Security & Auth,Security Hardening,T31,Audit Logging System,Log all security-relevant events: login logout failed auth permission changes API key creation. Immutable audit log with signatures.,Highest,To Do,Security Auditor,T27,T3,All security events logged. Audit log append-only. Tamper-evident via hashing. Admin can export logs.,5,,src/audit/logger.js src/audit/verify.js,Use hash chain
Phase 4: Security & Auth,Security Hardening,T32,Encryption at Rest & In Transit,Encrypt sensitive data in database (API keys tokens PII). Use TLS 1.3 for all connections. Key rotation strategy.,Highest,To Do,Cryptography Specialist,T20,T27,Database fields encrypted with AES-256. TLS enforced. Key rotation quarterly. Secrets in environment or vault.,5,,src/crypto/index.js,Use node:crypto
Phase 4: Security & Auth,Security Hardening,T33,Real Sandbox Implementation,Replace prompt-level sandbox with actual filesystem sandbox using chroot or Docker. Network isolation for agent executions.,Highest,To Do,DevOps CI/CD Specialist,T14,Agent code runs in isolated container. Filesystem restricted to workspace. Network egress controlled. Resource limits enforced.,8,,src/sandbox/docker.js,Docker-in-Docker or containerd
Phase 5: Web Platform,API Server,T34,Express/Fastify API Server,Create a REST API server with routes for agents sessions analytics users and skills. OpenAPI 3.0 documentation. Rate limiting.,Highest,To Do,Backend Node.js Lead,T20 T27,Server starts and serves API. All routes documented in OpenAPI. Rate limit 100 req/min per user. Graceful shutdown.,6,,src/server/index.js src/server/routes/ src/server/middleware.js,Use Fastify for performance
Phase 5: Web Platform,API Server,T35,GraphQL API Layer,Add GraphQL endpoint for flexible queries. Schema for agents sessions costs and analytics. Subscriptions for real-time events.,High,To Do,Backend Node.js Lead,T34,GraphQL playground available. All REST resources available via GraphQL. Subscriptions for live events.,5,,src/server/graphql.js src/server/schema.graphql,Use Apollo Server
Phase 5: Web Platform,Web Dashboard,T36,Next.js Dashboard Application,Create a Next.js 14 web dashboard with App Router. Pages: Login Dashboard Agents Analytics Settings Team. Dark mode support.,Highest,To Do,Frontend React Expert,T34,Dashboard builds and runs. Responsive design. Dark mode. Real-time updates. Route guards based on auth.,8,,apps/web/package.json apps/web/src/,Use Next.js 14 + Tailwind + shadcn
Phase 5: Web Platform,Web Dashboard,T37,Agent Management UI,Web interface for browsing 100 agents viewing details assigning tasks and monitoring status. Search and filter by department.,High,To Do,Frontend React Expert,T36,All 100 agents viewable in grid/list. Detail panel shows model config. Direct task assignment. Status indicators.,4,src/agents.json,apps/web/src/app/agents/,Paginated virtual scroll
Phase 5: Web Platform,Web Dashboard,T38,Analytics Dashboard UI,Visual charts for costs token usage agent activity over time. Export to CSV/PDF. Date range filtering.,High,To Do,Frontend React Expert,T36 T22,Charts render correctly. Date filters work. Export generates files. Real-time cost ticker.,5,,apps/web/src/app/analytics/,Use Recharts or Tremor
Phase 5: Web Platform,Web Dashboard,T39,Workflow Builder UI,Visual drag-and-drop workflow builder. Connect agents with conditions loops and approvals. Save and execute workflows.,High,To Do,Frontend React Expert,T36 T17,Workflows creatable via UI. Drag-and-drop nodes. Conditional branches. Save to database. Execute from UI.,8,,apps/web/src/app/workflows/,Use React Flow
Phase 5: Web Platform,Real-time Collaboration,T40,WebSocket Collaboration,Multi-user real-time collaboration on sessions and workflows. Cursor presence indicators. Live chat between team members.,Medium,To Do,Frontend React Expert,T36 T19,Multiple users see same session updates. Presence indicators. Chat sidebar. Conflict resolution.,6,,src/server/collab.js apps/web/src/components/collab/,Use Socket.io
Phase 6: AI Infrastructure,RAG System,T41,Vector Database Integration,Add ChromaDB or Pinecone for vector storage. Store document embeddings. Semantic search across knowledge base.,High,To Do,Machine Learning Engineer,T24,Documents chunked and embedded. Semantic search returns relevant chunks. Hybrid search with full-text.,5,,src/rag/vector.js,Use OpenAI embeddings or local
Phase 6: AI Infrastructure,RAG System,T42,Retrieval-Augmented Generation,Modify agent prompts to include retrieved context from knowledge base. Citation tracking for sources. Confidence scores.,High,To Do,AI Prompt Engineer,T41,Agent responses include cited sources. Retrieved context improves accuracy. Confidence threshold configurable.,4,src/core.js,src/rag/prompts.js,Cite sources in responses
Phase 6: AI Infrastructure,Model Management,T43,Model Registry & Routing,Centralize model configurations with health checks. Dynamic routing based on latency cost and quality. Fallback automation.,High,To Do,Chief Software Architect,,Model health checked every 60s. Unhealthy models auto-routed to fallbacks. Cost optimization suggestions.,5,src/agents.json,src/models/registry.js src/models/health.js,Abstract model provider
Phase 6: AI Infrastructure,Model Management,T44,Local Model Support,Add support for local Ollama and LM Studio models. Configure via dashboard. Hybrid cloud-local routing.,Medium,To Do,Machine Learning Engineer,T43,Local models configurable. Fallback to cloud if local unavailable. Latency comparison dashboard.,4,,src/models/local.js,Use Ollama JS client
Phase 6: AI Infrastructure,Multi-Modal Support,T45,Image & Audio Processing,Support image analysis and audio transcription in agent workflows. Integrate vision models and Whisper.,Medium,To Do,Machine Learning Engineer,,Agents can process uploaded images. Audio files transcribed. Multi-modal context in conversations.,5,src/skills.js,src/skills/vision.js src/skills/audio.js,Use vision-capable models
Phase 6: AI Infrastructure,Cost Optimization,T46,Usage Quotas & Billing,Implement usage quotas per user team and workspace. Track credits. Warn at 80% usage. Block at 100% unless admin override.,High,To Do,Financial Modeler,T20 T27,Quotas enforced at API level. Real-time usage bar in UI. Email warnings. Admin can grant additional credits.,5,,src/billing/quotas.js src/billing/tracker.js,Stripe integration optional
Phase 7: Enterprise Features,Integration Hub,T47,Webhook System,Outgoing webhooks for events: task_complete agent_fail cost_threshold. Configurable URL headers and retry policy.,High,To Do,API Integration Specialist,T18,Webhooks sent for configured events. Signature verification with HMAC. Retry with backoff. Delivery status tracked.,4,,src/webhooks/index.js src/webhooks/delivery.js,Idempotent delivery
Phase 7: Enterprise Features,Integration Hub,T48,Third-Party Integrations,Connect to Slack Discord GitHub Jira and Notion. Agents can post updates create issues and send notifications.,Medium,To Do,API Integration Specialist,T47,Slack bot integration. GitHub issue creation. Jira ticket creation. Notion page updates. OAuth for each.,6,,src/integrations/slack.js src/integrations/github.js,Modular integration system
Phase 7: Enterprise Features,Integration Hub,T49,SDK & Client Libraries,Publish official JavaScript/TypeScript SDK and Python client. NPM and PyPI packages. Typed interfaces documentation.,Medium,To Do,Chief Software Architect,T34,SDK on NPM. TypeScript definitions. Python client on PyPI. Usage examples in docs. 100% API coverage.,6,,packages/sdk-js/ packages/sdk-py/,Monorepo structure
Phase 7: Enterprise Features,Enterprise Admin,T50,Organization Management,Enterprise features: SSO/SAML SCIM provisioning audit reports data retention policies custom domains.,Low,To Do,Chief Operating Officer,T30 T31,SSO via SAML 2.0. SCIM user provisioning. Custom domain support. Data retention configurable.,8,,src/enterprise/sso.js src/enterprise/scim.js,Enterprise tier only
Phase 7: Enterprise Features,Enterprise Admin,T51,SLA & Support System,Service level agreements with guaranteed response times. Priority support queue. Escalation workflows. Status page.,Low,To Do,Customer Success Manager,T50,SLA tracking per organization. Priority queue for enterprise. Escalation to human support. Status page public.,4,,src/support/sla.js src/support/escalation.js,
Phase 8: DevOps & Monitoring,Containerization,T52,Docker & Docker Compose,Dockerfile for the app with multi-stage build. Docker Compose with PostgreSQL Redis and app. Health checks and restart policies.,Highest,To Do,DevOps CI/CD Specialist,,Docker build succeeds. Compose up brings up full stack. Health checks pass. Graceful shutdown handled.,4,,Dockerfile docker-compose.yml docker-compose.prod.yml,Node 20 LTS
Phase 8: DevOps & Monitoring,Containerization,T53,Kubernetes Manifests,Create K8s deployments services configmaps and secrets. Horizontal pod autoscaling. Resource limits. Ingress with TLS.,High,To Do,DevOps CI/CD Specialist,T52,Manifests deploy to K8s. HPA scales 2-10 pods. Ingress routes traffic. TLS termination at ingress.,5,,k8s/ deployment.yaml service.yaml ingress.yaml hpa.yaml,Use Helm chart optional
Phase 8: DevOps & Monitoring,CI/CD,T54,GitHub Actions Pipelines,Build test lint and security scan on every PR. Deploy to staging on merge. Deploy to production on release tag.,Highest,To Do,DevOps CI/CD Specialist,T52,T7,CI passes on PR. Auto-deploy to staging. Release tags trigger prod deploy. Security scans block on critical.,5,,.github/workflows/ci.yml .github/workflows/deploy.yml,SonarQube or CodeQL
Phase 8: DevOps & Monitoring,Monitoring,T55,Health Checks & Metrics,Implement /health /ready and /metrics endpoints. Prometheus metrics for request latency error rates queue depth agent activity.,High,To Do,DevOps CI/CD Specialist,T34,Health endpoint returns 200 when ready. Prometheus scrapes metrics. Grafana dashboard imports.,4,,src/server/health.js src/server/metrics.js,Use prom-client
Phase 8: DevOps & Monitoring,Monitoring,T56,Alerting System,Configure alerts for high error rates cost spikes queue backlog and model failures. Alert via email Slack PagerDuty.,High,To Do,DevOps CI/CD Specialist,T55,Alerts fire when thresholds exceeded. Alert history viewable. Escalation rules configured.,4,,src/alerts/rules.js src/alerts/channels.js,Use Alertmanager
Phase 8: DevOps & Monitoring,Backup & Recovery,T57,Database Backup Strategy,Automated daily backups of SQLite/PostgreSQL. Point-in-time recovery. Backup testing monthly. Cross-region replication for prod.,High,To Do,Database Architect,T20 T21,Backups run daily. Restore tested monthly. RPO 24 hours RTO 4 hours. Cross-region for enterprise.,4,,scripts/backup.sh scripts/restore.sh,Use pg_dump or litecli
Phase 8: DevOps & Monitoring,Performance,T58,Redis Caching Layer,Add Redis for caching model responses session data and analytics. TTL-based expiration. Cache invalidation strategies.,Medium,To Do,Backend Node.js Lead,T20,Repeated queries served from cache. Cache hit ratio > 70%. Invalidation on data change. Stale-while-revalidate.,4,,src/cache/redis.js,Cache expensive API calls
Phase 8: DevOps & Monitoring,Performance,T59,Load Testing & Optimization,k6 or Artillery load tests for API endpoints. Identify bottlenecks. Optimize database queries. Connection pooling review.,Medium,To Do,Performance Optimization Expert,T34,Load tests run at 1000 concurrent users. P95 latency under 500ms. Database query time under 50ms.,5,,tests/load/k6-script.js,Profile with clinic.js
Phase 8: DevOps & Monitoring,Documentation,T60,API Documentation (Swagger),Auto-generated OpenAPI documentation from routes. Interactive Swagger UI. Code examples in multiple languages.,High,To Do,Technical Writer,T34,T35,Swagger UI at /docs. All endpoints documented. Request/response examples. Auth instructions.,3,,docs/openapi.yaml,Use swagger-jsdoc
Phase 8: DevOps & Monitoring,Documentation,T61,User & Developer Guides,Comprehensive documentation: quick start user guide admin guide developer guide architecture decision records.,High,To Do,Technical Writer,T60,Documentation site live. Searchable. Versioned per release. Contribution guide included.,5,,docs/README.md docs/guides/ mkdocs.yml,Use Docusaurus or MkDocs
Phase 8: DevOps & Monitoring,Documentation,T62,Inline Code Documentation,JSDoc for all functions classes and modules. Generate HTML documentation. Type definitions exported.,Medium,To Do,Technical Writer,,All public APIs have JSDoc. TypeScript declaration files generated. IDE autocomplete works.,4,All JS files,,Use tsc for .d.ts
Current Sprint,MCP & CLI Improvements,T63,MCP Server Enhancements,Add more MCP tools: list_agents get_agent_status assign_task get_analytics. Support SSE transport for remote MCP.,High,Done,API Integration Specialist,Current,New MCP tools implemented. SSE transport works. Tool schema documented.,3,src/mcp-server.js,src/mcp/tools.js,Extend current MCP
Current Sprint,MCP & CLI Improvements,T64,CLI Improvements,Add --version --config --verbose flags. Better error messages. Shell completion for bash/zsh/fish. Man page.,High,Done,Backend Node.js Lead,,orca --version works. --config points to custom config. Shell completions installed. Man page generated.,3,src/index.js,src/cli/args.js src/cli/completion.sh,Use commander.js
Current Sprint,MCP & CLI Improvements,T65,TUI Enhancements,Add vim/emacs keybindings. Command history with up/down. Split-pane view. Syntax highlighting for code in responses.,Medium,Done,Frontend Vue Expert,,Keybindings work. History persists. Code blocks highlighted. TUI feels like a modern IDE.,4,src/tui.js,,Use chalk + highlight.js
Current Sprint,Agent System,T66,Agent Swarm Improvements,True parallel agent execution for Swarm mode. Result aggregation strategies (voting best-of-n synthesis). Conflict resolution.,Highest,To Do,AI Prompt Engineer,T16,Multiple agents run in parallel. Results aggregated intelligently. Conflicts detected and resolved. Synthesis quality improved.,6,src/core.js,src/agents/swarm.js,Use Promise.all with timeout
Current Sprint,Agent System,T67,Agent Performance Metrics,Track per-agent success rate latency token efficiency and output quality. Leaderboard and automatic model re-routing.,Medium,To Do,Analytics Interpreter,T23,Metrics stored per agent. Dashboard shows leaderboard. Poor performers auto-fallback to better models.,4,,src/agents/metrics.js src/agents/leaderboard.js,
Current Sprint,Agent System,T68,Agent Customization,Allow users to create custom agents with custom prompts models and tools. Agent templates for common roles.,High,To Do,Product Manager,T12,Custom agents creatable via UI. Templates provided. Export/import agent configs. Share with team.,5,src/agents.json,src/agents/custom.js,JSON agent definitions
Current Sprint,Data Migration,T69,JSON to Database Migration,Script to migrate existing JSON analytics and history files into the new SQLite/PostgreSQL database. Idempotent and safe.,High,To Do,Data Engineer,T20,Migration script runs without data loss. Handles duplicates. Rollback plan documented. Verified with checksums.,3,,scripts/migrate.js,Must be reversible
Current Sprint,Data Migration,T70,Environment Migration Guide,Document step-by-step guide for migrating from v1 (JSON files) to v2 (database). Breaking changes and new features listed.,Medium,To Do,Technical Writer,T69,MIGRATION.md created. Clear instructions. Troubleshooting section. Backup instructions.,2,,docs/MIGRATION.md,,
