ID,App,Workstream,Status,Priority,Phase,Target Window,Owner,Customer Outcome,Step-by-Step Tasks,Dependencies,Capability Keys,Usage Meters,Events,Artifacts,Acceptance Criteria,Verification,Evidence / Agent Notes,Research Basis,Competitive Angle,Risks / Controls
ELK-ORCA-PROD-033,Orca,Task Decomposition,Proposed,P1,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on task decomposition as part of a governed Orca execution runtime.,Define the production contract for Task Decomposition; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Plan generation,orca.decomposition,orca.decomposition.usage,orca.task_decomposed,task.plan,"Task Decomposition is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Decomposition tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-034,Orca,Checkpoints,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on checkpoints as part of a governed Orca execution runtime.,Define the production contract for Checkpoints; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Run state machine; approvals,orca.checkpoints,orca.checkpoints.usage,orca.checkpoint_created,checkpoint.record,"Checkpoints is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Checkpoint tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-035,Orca,Agent Registry Runtime,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on agent registry runtime as part of a governed Orca execution runtime.,Define the production contract for Agent Registry Runtime; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Agent schema,orca.agents,orca.agents.usage,orca.agent_registry_loaded,agent.registry,"Agent Registry Runtime is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Agent registry tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-036,Orca,Model Routing Policy,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on model routing policy as part of a governed Orca execution runtime.,Define the production contract for Model Routing Policy; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Provider config; usage meters,orca.models,orca.models.usage,orca.model_routed,model.route,"Model Routing Policy is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Model routing tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-037,Orca,Fallback And Circuit Breakers,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on fallback and circuit breakers as part of a governed Orca execution runtime.,Define the production contract for Fallback And Circuit Breakers; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Existing circuit breaker utils,orca.resilience,orca.resilience.usage,orca.circuit_opened; orca.retry_scheduled,resilience.report,"Fallback And Circuit Breakers is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Resilience tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-038,Orca,Team Orchestration,Proposed,P1,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on team orchestration as part of a governed Orca execution runtime.,Define the production contract for Team Orchestration; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Agent registry,orca.teams,orca.teams.usage,orca.team_assigned,team.plan,"Team Orchestration is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Team orchestration tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-039,Orca,Conflict Resolution,Proposed,P1,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on conflict resolution as part of a governed Orca execution runtime.,Define the production contract for Conflict Resolution; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Swarm strategies,orca.conflicts,orca.conflicts.usage,orca.conflict_resolved,conflict.report,"Conflict Resolution is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Conflict tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-040,Orca,Cost Budgets,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on cost budgets as part of a governed Orca execution runtime.,Define the production contract for Cost Budgets; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Usage meters; model policy,orca.budgets,orca.budgets.usage,orca.budget_exceeded,budget.record,"Cost Budgets is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Budget tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-041,Orca,Cancel Resume Retry,Proposed,P0,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on cancel resume retry as part of a governed Orca execution runtime.,Define the production contract for Cancel Resume Retry; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Run state machine,orca.runs,orca.runs.usage,orca.run_canceled; orca.run_resumed; orca.run_retried,run.control,"Cancel Resume Retry is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Control tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-042,Orca,Run History Search,Proposed,P1,3 - Sessions Runs Agents,Week 3-4,Orca Agent,Customers can rely on run history search as part of a governed Orca execution runtime.,Define the production contract for Run History Search; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Session/run model,orca.search,orca.search.usage,orca.run_search_performed,search.result,"Run History Search is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Search tests pass.,Pending implementation.,"Codex, Copilot, and Devin-style agents depend on durable background sessions and reviewable plans.","Orca can use multi-agent execution only where state, budget, and evidence are measurable.",No production run state should live only in memory or bypass checkpoints.
ELK-ORCA-PROD-043,Orca,Action Taxonomy,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Security Agent,Customers can rely on action taxonomy as part of a governed Orca execution runtime.,Define the production contract for Action Taxonomy; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Action approval contract,orca.actions,orca.actions.usage,orca.action_taxonomy_updated,action.taxonomy,"Action Taxonomy is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Taxonomy tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-044,Orca,Approval Queue,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Orca Agent,Customers can rely on approval queue as part of a governed Orca execution runtime.,Define the production contract for Approval Queue; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Action contract,orca.approvals,orca.approvals.usage,orca.action_requested; orca.action_approved; orca.action_rejected,approval.record,"Approval Queue is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Action contract tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-045,Orca,High Risk Approval Rules,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Security Agent,Customers can rely on high risk approval rules as part of a governed Orca execution runtime.,Define the production contract for High Risk Approval Rules; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Approval Queue; Action Taxonomy,orca.approvals; orca.policy,orca.approvals.usage; orca.policy.usage,orca.high_risk_action_blocked,high_risk.policy,"High Risk Approval Rules is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",High-risk tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-046,Orca,Deny Ask Allow Policy,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Security Agent,Customers can rely on deny ask allow policy as part of a governed Orca execution runtime.,Define the production contract for Deny Ask Allow Policy; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Action taxonomy,orca.permissions,orca.permissions.usage,orca.permission_decision,permission.policy,"Deny Ask Allow Policy is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Permission tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-047,Orca,Sandbox Profiles Runtime,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Security Agent,Customers can rely on sandbox profiles runtime as part of a governed Orca execution runtime.,Define the production contract for Sandbox Profiles Runtime; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Sandbox profile schema,orca.sandbox,orca.sandbox.usage,orca.sandbox_started; orca.sandbox_blocked,sandbox.session,"Sandbox Profiles Runtime is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Sandbox runtime tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-048,Orca,Read Only Sandbox,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Security Agent,Customers can rely on read only sandbox as part of a governed Orca execution runtime.,Define the production contract for Read Only Sandbox; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Sandbox profiles,orca.sandbox.read_only,orca.sandbox.read_only.usage,orca.sandbox_read_only_started,sandbox.profile,"Read Only Sandbox is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Read-only tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-049,Orca,Patch Only Sandbox,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Security Agent,Customers can rely on patch only sandbox as part of a governed Orca execution runtime.,Define the production contract for Patch Only Sandbox; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Sandbox profiles; patch artifacts,orca.sandbox.patch,orca.sandbox.patch.usage,orca.patch_created,orca.patch,"Patch Only Sandbox is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Patch sandbox tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-050,Orca,Shell Command Policy,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Security Agent,Customers can rely on shell command policy as part of a governed Orca execution runtime.,Define the production contract for Shell Command Policy; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Action taxonomy; sandbox,orca.shell,orca.shell.usage,orca.shell_command_requested; orca.shell_command_completed,shell.record,"Shell Command Policy is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Shell policy tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-051,Orca,File Write Delete Policy,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Security Agent,Customers can rely on file write delete policy as part of a governed Orca execution runtime.,Define the production contract for File Write Delete Policy; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Patch sandbox,orca.files,orca.files.usage,orca.file_write_requested; orca.file_delete_blocked,file.action_record,"File Write Delete Policy is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",File policy tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-052,Orca,Browser Desktop Policy,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Security Agent,Customers can rely on browser desktop policy as part of a governed Orca execution runtime.,Define the production contract for Browser Desktop Policy; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Action taxonomy,orca.browser; orca.desktop,orca.browser.usage; orca.desktop.usage,orca.browser_action_requested; orca.desktop_action_blocked,browser.action_record,"Browser Desktop Policy is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Browser/desktop policy tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-053,Orca,Network Policy,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Security Agent,Customers can rely on network policy as part of a governed Orca execution runtime.,Define the production contract for Network Policy; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Sandbox runtime,orca.network,orca.network.usage,orca.network_request_blocked,network.policy,"Network Policy is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Network policy tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-054,Orca,Secrets Redaction Guard,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Security Agent,Customers can rely on secrets redaction guard as part of a governed Orca execution runtime.,Define the production contract for Secrets Redaction Guard; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Logging; provider policy,orca.secrets,orca.secrets.usage,orca.secret_detected,secret.scan_report,"Secrets Redaction Guard is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Secret guard tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-055,Orca,Idempotency Keys,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Orca Agent,Customers can rely on idempotency keys as part of a governed Orca execution runtime.,Define the production contract for Idempotency Keys; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Run controls; integrations,orca.idempotency,orca.idempotency.usage,orca.idempotency_reused,idempotency.record,"Idempotency Keys is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Idempotency tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-056,Orca,Rollback Evidence,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,Orca Agent,Customers can rely on rollback evidence as part of a governed Orca execution runtime.,Define the production contract for Rollback Evidence; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Patch artifacts; file policy,orca.rollback,orca.rollback.usage,orca.rollback_plan_created,rollback.plan,"Rollback Evidence is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Rollback tests pass.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-057,Orca,Policy Test Suite,Proposed,P0,4 - Action Approvals And Sandboxing,Week 5-6,QA Agent,Customers can rely on policy test suite as part of a governed Orca execution runtime.,Define the production contract for Policy Test Suite; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,All action policies,orca.policy_tests,orca.policy_tests.usage,orca.policy_tests_completed,policy.test_report,"Policy Test Suite is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Policy suite passes.,Pending implementation.,Claude Code permissions/sandboxing and MCP security guidance show autonomy must be permissioned.,Governed action execution is Orca’s primary trust differentiator.,"Approval, sandbox, secret, and policy test failures block release."
ELK-ORCA-PROD-058,Orca,MCP Server Hardening,Proposed,P0,5 - MCP Tools Integrations,Week 7-8,Orca Agent,Customers can rely on mcp server hardening as part of a governed Orca execution runtime.,Define the production contract for MCP Server Hardening; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,MCP schema contract,orca.mcp,orca.mcp.usage,orca.mcp_server_hardened,mcp.server_report,"MCP Server Hardening is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",node --check src/mcp-server.js and MCP tests pass.,Pending implementation.,"Gemini CLI, MCP, and enterprise coding agents are expanding through tool ecosystems.",Orca can be a safe CLI/MCP runtime for approved tools and integrations.,Fake adapters are required; no real credentials in default tests.
ELK-ORCA-PROD-059,Orca,MCP Authorization,Proposed,P0,5 - MCP Tools Integrations,Week 7-8,Security Agent,Customers can rely on mcp authorization as part of a governed Orca execution runtime.,Define the production contract for MCP Authorization; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,MCP authorization spec,orca.mcp_auth,orca.mcp_auth.usage,orca.mcp_auth_updated,mcp.auth_policy,"MCP Authorization is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",MCP auth tests pass or documented local-only limitation exists.,Pending implementation.,"Gemini CLI, MCP, and enterprise coding agents are expanding through tool ecosystems.",Orca can be a safe CLI/MCP runtime for approved tools and integrations.,Fake adapters are required; no real credentials in default tests.
ELK-ORCA-PROD-060,Orca,Tool Registry,Proposed,P0,5 - MCP Tools Integrations,Week 7-8,Orca Agent,Customers can rely on tool registry as part of a governed Orca execution runtime.,Define the production contract for Tool Registry; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Tool policy schema,orca.tools,orca.tools.usage,orca.tool_registered,tool.registry,"Tool Registry is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Tool registry tests pass.,Pending implementation.,"Gemini CLI, MCP, and enterprise coding agents are expanding through tool ecosystems.",Orca can be a safe CLI/MCP runtime for approved tools and integrations.,Fake adapters are required; no real credentials in default tests.
ELK-ORCA-PROD-061,Orca,Tool Allowlist,Proposed,P0,5 - MCP Tools Integrations,Week 7-8,Security Agent,Customers can rely on tool allowlist as part of a governed Orca execution runtime.,Define the production contract for Tool Allowlist; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Tool Registry,orca.tools; orca.policy,orca.tools.usage; orca.policy.usage,orca.tool_blocked; orca.tool_allowed,tool.policy_decision,"Tool Allowlist is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Allowlist tests pass.,Pending implementation.,"Gemini CLI, MCP, and enterprise coding agents are expanding through tool ecosystems.",Orca can be a safe CLI/MCP runtime for approved tools and integrations.,Fake adapters are required; no real credentials in default tests.
ELK-ORCA-PROD-062,Orca,MCP Client Connectors,Proposed,P1,5 - MCP Tools Integrations,Week 7-8,Orca Agent,Customers can rely on mcp client connectors as part of a governed Orca execution runtime.,Define the production contract for MCP Client Connectors; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,MCP auth; tool registry,orca.mcp_client,orca.mcp_client.usage,orca.mcp_client_connected,mcp.server_ref,"MCP Client Connectors is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",MCP client tests pass with fake server.,Pending implementation.,"Gemini CLI, MCP, and enterprise coding agents are expanding through tool ecosystems.",Orca can be a safe CLI/MCP runtime for approved tools and integrations.,Fake adapters are required; no real credentials in default tests.
ELK-ORCA-PROD-063,Orca,GitHub Integration,Proposed,P0,5 - MCP Tools Integrations,Week 7-8,Orca Agent,Customers can rely on github integration as part of a governed Orca execution runtime.,Define the production contract for GitHub Integration; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Integrations base; action policy,orca.integrations.github,orca.integrations.github.usage,orca.github_action_requested; orca.github_result_received,github.ref,"GitHub Integration is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",GitHub integration tests pass with fake adapter.,Pending implementation.,"Gemini CLI, MCP, and enterprise coding agents are expanding through tool ecosystems.",Orca can be a safe CLI/MCP runtime for approved tools and integrations.,Fake adapters are required; no real credentials in default tests.
ELK-ORCA-PROD-064,Orca,Jira Notion Slack Integrations,Proposed,P1,5 - MCP Tools Integrations,Week 7-8,Orca Agent,Customers can rely on jira notion slack integrations as part of a governed Orca execution runtime.,Define the production contract for Jira Notion Slack Integrations; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Existing integrations,orca.integrations,orca.integrations.usage,orca.integration_action_requested,integration.ref,"Jira Notion Slack Integrations is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Fake integration tests pass.,Pending implementation.,"Gemini CLI, MCP, and enterprise coding agents are expanding through tool ecosystems.",Orca can be a safe CLI/MCP runtime for approved tools and integrations.,Fake adapters are required; no real credentials in default tests.
ELK-ORCA-PROD-065,Orca,Webhook Delivery,Proposed,P1,5 - MCP Tools Integrations,Week 7-8,Orca Agent,Customers can rely on webhook delivery as part of a governed Orca execution runtime.,Define the production contract for Webhook Delivery; implement or verify the runtime path; add synthetic fixtures and negative tests; document operator behavior; update this CSV row with evidence after verification.,Webhook modules,orca.webhooks,orca.webhooks.usage,orca.webhook_delivered; orca.webhook_failed,webhook.delivery,"Webhook Delivery is implemented, documented, tested, emits the expected events/artifacts, and cannot bypass approval, sandbox, audit, or standalone boundary rules.",Webhook tests pass.,Pending implementation.,"Gemini CLI, MCP, and enterprise coding agents are expanding through tool ecosystems.",Orca can be a safe CLI/MCP runtime for approved tools and integrations.,Fake adapters are required; no real credentials in default tests.
